,US_M2_USD,dff,^GSPC,gini_coefficient
2002-11-01,5765100.0,1.74,900.9600219726562,0.4929371135412647
2002-12-01,5811600.0,1.23,934.530029296875,0.492746682194743
2003-01-01,5801200.0,1.16,909.030029296875,0.4925094405216294
2003-02-01,5828700.0,1.33,860.3200073242188,0.4927326742062049
2003-03-01,5889400.0,1.33,834.8099975585938,0.4926777299896584
2003-04-01,5945400.0,1.29,858.47998046875,0.493832673017651
2003-05-01,5944400.0,1.3,916.2999877929688,0.4939827046869268
2003-06-01,5998700.0,1.28,967.0,0.4944959787969658
2003-07-01,6042000.0,1.11,982.3200073242188,0.4947479842869911
2003-08-01,6098400.0,1.0,980.1500244140625,0.4954707701939144
2003-09-01,6070900.0,1.01,1021.989990234375,0.4954000803932301
2003-10-01,6054900.0,1.11,1018.219970703125,0.4957183871970334
2003-11-01,6083700.0,1.03,1059.02001953125,0.4975674820329744
2003-12-01,6105300.0,1.03,1070.1199951171875,0.498390648669285
2004-01-01,6065700.0,0.94,1108.47998046875,0.4999306276562267
2004-02-01,6096700.0,1.03,1135.260009765625,0.5006949864025122
2004-03-01,6176600.0,1.04,1155.969970703125,0.5015594735031784
2004-04-01,6243800.0,1.03,1132.1700439453125,0.5008645716829181
2004-05-01,6257300.0,1.03,1117.489990234375,0.5013188771056184
2004-06-01,6280300.0,1.02,1121.199951171875,0.5023749005189283
2004-07-01,6286000.0,1.4,1128.93994140625,0.5022647126483949
2004-08-01,6308300.0,1.29,1106.6199951171875,0.5018381700678409
2004-09-01,6341100.0,1.53,1105.9100341796875,0.5026320966198266
2004-10-01,6362300.0,1.86,1131.5,0.5029138953099616
2004-11-01,6411800.0,1.83,1130.510009765625,0.5034047541765931
2004-12-01,6453900.0,2.04,1191.3699951171875,0.5040547040238376
2005-01-01,6410700.0,1.97,1202.0799560546875,0.5037689927032611
2005-02-01,6411900.0,2.4,1189.4100341796875,0.5049008692642306
2005-03-01,6471500.0,2.39,1210.4100341796875,0.5057714872281706
2005-04-01,6514500.0,2.83,1172.9200439453125,0.506231188989029
2005-05-01,6465700.0,2.97,1162.1600341796875,0.5069414002767116
2005-06-01,6517800.0,3.02,1202.219970703125,0.5067559203424511
2005-07-01,6537000.0,3.36,1194.43994140625,0.5070798113973737
2005-08-01,6561300.0,3.3,1235.3499755859375,0.5084768798383141
2005-09-01,6593600.0,3.57,1221.5899658203125,0.5087950272513669
2005-10-01,6620500.0,3.93,1226.699951171875,0.5096548846391897
